tconst,averagerating,numvotes
tt0099261,4.8,66
tt0099262,6.5,264
tt0099263,7.8,1385
tt0099264,5.2,134
tt0099265,6.5,241
tt0099266,7.6,5463
tt0099267,6.6,258
tt0099268,6.4,598
tt0099270,6.7,80
tt0099271,4.6,961
tt0099272,6.9,351
tt0099273,6.7,2638
tt0099274,6.3,131
tt0099275,6.2,59
tt0099276,4.5,138
tt0099277,5.9,8241
tt0099278,3.1,395
tt0099279,7.4,9
tt0099280,3.2,343
tt0099283,5.8,15
tt0099284,5.8,67
tt0099285,7.2,21
tt0099286,5.6,515
tt0099288,7.5,1831
tt0099289,7.7,2047
tt0099290,7.2,1013
tt0099291,6.7,2957
tt0099292,6.3,6044
tt0099293,5.8,1560
tt0099294,6.9,63
tt0099295,6.1,140
tt0099296,6.1,304
tt0099297,4.8,62
tt0099298,5.5,257
tt0099299,5.1,34
tt0099300,5.8,705
tt0099302,4.4,137
tt0099304,6.8,17
tt0099305,3.8,240
tt0099306,5.7,35
tt0099307,6.5,215
tt0099308,5.5,16
tt0099310,6.7,2602
tt0099311,6.9,233
tt0099312,4.4,1526
tt0099313,4.9,1329
tt0099314,5.3,324
tt0099315,5.3,37
tt0099316,6.0,4853
tt0099317,7.7,6770
tt0099319,4.6,100
tt0099320,4.5,42
tt0099321,6.4,366
tt0099322,6.8,146
tt0099323,5.4,641
tt0099326,7.4,13
tt0099327,5.8,1109
tt0099328,6.2,526
tt0099329,6.5,63016
tt0099330,3.4,141
tt0099331,6.3,51
tt0099332,5.1,259
tt0099333,4.4,112
tt0099334,7.5,25248
tt0099335,6.4,89
tt0099336,6.6,72
tt0099338,7.0,187
tt0099339,6.9,157
tt0099340,7.0,138
tt0099341,6.9,819
tt0099342,5.7,850
tt0099343,6.9,53
tt0099344,5.6,165
tt0099345,6.8,44
tt0099346,5.7,103
tt0099347,5.5,46
tt0099348,8.0,279714
tt0099349,6.7,412
tt0099350,7.1,15
tt0099351,4.0,357
tt0099352,6.3,273
tt0099353,6.5,16
tt0099354,5.6,63
tt0099355,4.0,65
tt0099356,6.8,683
tt0099357,4.4,179
tt0099358,5.1,122
tt0099359,7.5,9
tt0099360,4.7,102
tt0099361,5.8,51
tt0099362,5.3,38
tt0099363,7.5,2080
tt0099364,4.9,2766
tt0099365,6.4,67683
tt0099366,4.4,602
tt0099367,5.8,14
tt0099368,5.0,901
tt0099369,6.0,235
tt0099370,5.3,49
tt0099371,6.1,93326
tt0099372,7.5,88
tt0099373,4.7,380
tt0099374,4.1,305
tt0099375,5.3,116
tt0099376,4.7,325
tt0099377,6.5,2521
tt0099378,5.4,302
tt0099379,5.1,44
tt0099380,4.6,115
tt0099381,4.7,1074
tt0099382,6.3,54
tt0099383,5.7,60
tt0099384,5.2,3137
tt0099385,5.7,19974
tt0099386,7.5,1283
tt0099387,5.7,2533
tt0099388,3.7,1035
