tconst,parenttconst,seasonnumber,episodenumber
tt8134484,tt0088603,1,16
tt8134492,tt0088603,1,17
tt8134504,tt0088603,1,18
tt8134514,tt0088603,1,19
tt8134520,tt0088603,1,20
tt8134528,tt0088603,1,21
tt8152188,tt0088512,\N,\N
tt8152346,tt0081857,37,208
tt8152348,tt0081857,37,163
tt8152350,tt0081857,37,164
tt8152354,tt0081857,37,165
tt8152356,tt0081857,37,166
tt8152358,tt0081857,37,167
tt8156848,tt0088512,\N,\N
tt8160978,tt0088512,\N,\N
tt8160984,tt0088512,\N,\N
tt8164682,tt0083448,\N,\N
tt8170918,tt0083452,36,11
tt8184002,tt0083397,1,193
tt8184316,tt0083397,\N,\N
tt8184398,tt0083397,\N,\N
tt8185048,tt0088512,\N,\N
tt8185492,tt0081857,37,169
tt8185494,tt0081857,37,170
tt8185496,tt0081857,37,171
tt8185504,tt0081857,37,172
tt8185508,tt0081857,37,173
tt8188776,tt0088512,\N,\N
tt8190958,tt0083448,\N,\N
tt8193158,tt0088512,\N,\N
tt8193204,tt0088512,\N,\N
tt8196606,tt0083448,\N,\N
tt8196608,tt0083448,\N,\N
tt8196612,tt0083448,\N,\N
tt8196614,tt0083448,\N,\N
tt8196618,tt0083448,\N,\N
tt8196624,tt0083448,\N,\N
tt8196628,tt0083448,\N,\N
tt8196630,tt0083448,\N,\N
tt8196634,tt0083448,\N,\N
tt8206388,tt0088565,1,1
tt8215474,tt0086683,1,31
tt8216008,tt0081857,37,180
tt8216010,tt0081857,37,186
tt8216012,tt0081857,37,192
tt8216014,tt0081857,37,198
tt8216308,tt0088512,\N,\N
tt8219362,tt0083451,4,11
tt8219466,tt0083451,4,10
tt8219516,tt0083451,4,9
tt8219644,tt0083451,5,14
tt8220272,tt0088512,\N,\N
tt8221004,tt0088554,1,1671
tt8221040,tt0088554,1,1672
tt8221042,tt0088554,1,1673
tt8221072,tt0088554,1,1674
tt8221118,tt0088554,1,1675
tt8222048,tt0086793,1,1816
tt8222186,tt0086793,1,1818
tt8222216,tt0086793,1,1819
tt8222302,tt0086793,1,1820
tt8222506,tt0086793,1,1821
tt8222544,tt0086793,1,1822
tt8222590,tt0086793,1,1823
tt8222614,tt0086793,1,1824
tt8222650,tt0086793,1,1825
tt8222712,tt0086793,1,1826
tt8222820,tt0083448,\N,\N
tt8222880,tt0086793,1,1827
tt8223060,tt0086793,1,1830
tt8223120,tt0086793,1,1831
tt8223134,tt0086793,1,1832
tt8223184,tt0086793,1,1834
tt8223406,tt0086793,1,1840
tt8223424,tt0086793,1,1841
tt8223490,tt0086793,1,1842
tt8223528,tt0086793,1,1843
tt8223566,tt0086793,1,1844
tt8223586,tt0086793,1,1845
tt8223616,tt0086793,1,1846
tt8223630,tt0086793,1,1847
tt8223668,tt0086793,1,1848
tt8223836,tt0088512,\N,\N
tt8223840,tt0088512,\N,\N
tt8224440,tt0086793,1,1849
tt8224464,tt0086793,1,1850
tt8224492,tt0086793,1,1851
tt8224522,tt0086793,1,1852
tt8224554,tt0086793,1,1853
tt8224582,tt0086793,1,1854
tt8224610,tt0086793,1,1855
tt8226666,tt0081857,4,220
tt8226678,tt0081857,4,222
tt8226682,tt0081857,4,237
tt8226704,tt0086793,1,1856
tt8226750,tt0086793,1,1857
tt8226812,tt0086793,1,1858
tt8226860,tt0086793,1,1859
tt8227124,tt0086793,1,1860
tt8227174,tt0086793,1,1861
tt8227196,tt0081857,\N,\N
tt8227206,tt0086793,1,1862
tt8227242,tt0086793,1,1863
tt8227280,tt0086793,1,1864
tt8227344,tt0086793,1,1865
tt8227448,tt0086793,1,1867
tt8227588,tt0086793,1,1869
tt8227614,tt0086793,1,1870
tt8227654,tt0086793,1,1871
tt8227676,tt0086793,1,1872
tt8227714,tt0086793,1,1873
tt8227742,tt0086793,1,1874
tt8227766,tt0086793,1,1875
tt8227808,tt0086793,1,1876
tt8228450,tt0081857,5,217
tt8228452,tt0081857,5,222
tt8228454,tt0081857,5,232
tt8228462,tt0081857,6,38
tt8228464,tt0081857,6,39
tt8228468,tt0081857,6,40
tt8228738,tt0086793,1,1877
tt8228746,tt0086793,1,1878
tt8228760,tt0086793,1,1879
tt8228774,tt0086793,1,1880
tt8228796,tt0086793,1,1881
tt8231378,tt0086793,1,1884
tt8231392,tt0086793,1,1885
tt8236144,tt0086793,1,1886
tt8236158,tt0086793,1,1887
tt8236178,tt0086793,1,1888
tt8236196,tt0086793,1,1889
tt8236432,tt0081857,37,178
tt8236436,tt0081857,37,179
tt8236448,tt0081857,37,254
tt8241914,tt0083452,36,2
tt8248218,tt0086793,1,1890
tt8248368,tt0086793,1,1891
tt8248400,tt0086793,1,1892
tt8248432,tt0086793,1,1893
tt8248446,tt0086793,1,1895
tt8248484,tt0086793,1,1900
tt8248530,tt0086793,1,1901
tt8248612,tt0086793,1,1905
tt8248634,tt0086793,1,1906
tt8248662,tt0086793,1,1907
tt8248692,tt0086793,1,1908
tt8248710,tt0086793,1,1909
tt8248762,tt0086793,1,1910
tt8248780,tt0086793,1,1911
tt8248796,tt0086793,1,1912
tt8248882,tt0088512,\N,\N
tt8249216,tt0086793,1,1914
tt8249262,tt0086793,1,1915
tt8249284,tt0086793,1,1916
tt8249292,tt0086793,1,1917
tt8249314,tt0086793,1,1918
tt8249334,tt0086793,1,1919
tt8249352,tt0086793,1,1920
tt8249370,tt0086793,1,1921
tt8249386,tt0086793,1,1922
tt8249406,tt0086793,1,1923
tt8249416,tt0086793,1,1924
tt8249424,tt0086793,1,1925
tt8249514,tt0086793,1,1928
tt8249528,tt0086793,1,1929
tt8249538,tt0086793,1,1930
tt8249598,tt0086793,1,1932
tt8249640,tt0086793,1,1933
tt8249686,tt0086793,1,1934
tt8249736,tt0086793,1,1935
tt8249802,tt0086793,1,1936
tt8249818,tt0086793,1,1937
tt8249826,tt0086793,1,1938
tt8249836,tt0086793,1,1939
tt8249846,tt0086793,1,1940
tt8249854,tt0086793,1,1941
tt8249862,tt0086793,1,1942
tt8249876,tt0086793,1,1943
tt8249946,tt0086793,1,1944
tt8250114,tt0086793,1,1945
tt8250130,tt0086793,1,1946
tt8250212,tt0086793,1,1947
tt8250216,tt0086793,1,1948
tt8250232,tt0086793,1,1949
tt8250254,tt0086793,1,1950
tt8250668,tt0088512,\N,\N
tt8251376,tt0086793,1,1953
tt8251488,tt0086793,1,1954
tt8253042,tt0081857,37,181
tt8253046,tt0081857,37,182
tt8253048,tt0081857,37,183
tt8253050,tt0081857,37,184
tt8253052,tt0081857,37,185
tt8253184,tt0083448,\N,\N
tt8254374,tt0088512,\N,\N
tt8254384,tt0088512,\N,\N
tt8257552,tt0086793,1,1960
tt8257836,tt0085658,1,1
tt8257838,tt0085658,1,2
tt8257846,tt0085658,1,3
tt8257856,tt0085658,1,4
tt8261106,tt0086793,1,1961
tt8261166,tt0086793,1,1962
tt8261322,tt0086793,1,1963
tt8264992,tt0086793,1,1964
tt8265130,tt0086793,1,1965
tt8278380,tt0088512,\N,\N
tt8280384,tt0081857,37,255
tt8280386,tt0081857,37,187
tt8280390,tt0081857,37,188
tt8280392,tt0081857,37,189
tt8280394,tt0081857,37,190
tt8280396,tt0081857,37,191
tt8282910,tt0088512,\N,\N
tt8285296,tt0083448,\N,\N
tt8286574,tt0088512,\N,\N
tt8286580,tt0088512,\N,\N
tt8299998,tt0085072,1,1
tt8307682,tt0088512,\N,\N
tt8307686,tt0088512,\N,\N
tt8308944,tt0088512,\N,\N
tt8309056,tt0088512,\N,\N
tt8309924,tt0083452,36,12
tt8316694,tt0086793,1,1967
tt8316764,tt0086793,1,1968
tt8316852,tt0086793,1,1969
tt8317654,tt0086793,1,1972
tt8317748,tt0086793,1,1973
tt8317844,tt0086793,1,1974
tt8317972,tt0086793,1,1975
tt8318096,tt0086793,1,1976
tt8318272,tt0086793,1,1977
tt8318880,tt0083448,\N,\N
tt8319732,tt0081857,37,193
tt8319736,tt0081857,37,194
tt8319738,tt0081857,37,195
tt8319746,tt0081857,37,196
tt8319748,tt0081857,37,197
tt8325128,tt0088598,\N,\N
tt8333912,tt0083459,1,4
tt8343804,tt0088512,\N,\N
tt8343896,tt0085100,\N,\N
tt8347646,tt0088512,\N,\N
