nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm0812367,Minna Soisalo,\N,\N,"actress,make_up_department","tt0098062,tt0118212,tt0087564,tt0349019"
nm0812373,Joel Soisson,\N,\N,"producer,writer,director","tt0219653,tt0096928,tt0114194,tt1714203"
nm0812377,Rolf Soja,\N,2018,"soundtrack,composer","tt0434124,tt1405810,tt0120868,tt3253930"
nm0812457,Aleksandr Sokolov,1906,1996,actor,"tt1663304,tt0059628,tt0471831,tt0042516"
nm0812485,Alla Sokolova,1944,2018,"actress,writer","tt0081189,tt0128542,tt0314369,tt1667354"
nm0812505,Zijah Sokolovic,1950,\N,"actor,writer","tt0821060,tt0086630,tt0363348,tt0434699"
nm0812556,Laura del Sol,1961,\N,actress,"tt0099027,tt0217860,tt0090259,tt0085297"
nm0812687,Emilio Del Solar,\N,\N,writer,tt0084824
nm0812689,Isabelle Solar,\N,\N,actress,tt0089386
nm0812825,Giovanni Soldati,1953,\N,"director,assistant_director,writer","tt0208478,tt0161169,tt15214322,tt0086919"
nm0812913,Alejandro Soler,\N,\N,"set_decorator,production_designer","tt0076558,tt0084563,tt0082196"
nm0812962,Llorenç Soler,1936,\N,"cinematographer,writer,director","tt1029170,tt0295965,tt0255028,tt0105922"
nm0812976,Octavio Soler,\N,\N,"production_designer,director,cinematographer","tt0088968,tt0080721"
nm0812992,Toti Soler,1949,\N,"soundtrack,composer,actor","tt3754940,tt3521332,tt7605702,tt0080095"
nm0813027,Patrícia Soley-Bertran,\N,\N,actress,"tt0086076,tt2446736,tt6051402,tt0943371"
nm0813104,Julieta Solis,\N,\N,editor,"tt7090268,tt0211170,tt0167732,tt0173538"
nm0813127,Joan Solivellas,1949,2011,"assistant_director,director,writer","tt0079108,tt0464940,tt0217415,tt0088321"
nm0813148,Bianca Sollazzo,1922,2011,actress,"tt0086031,tt0235284,tt0157414,tt0083601"
nm0813256,David Soloman,\N,\N,writer,tt0089260
nm0813290,Barbara Probst Solomon,1928,2019,writer,tt0088027
nm0813389,Maribeth Solomon,\N,\N,"composer,music_department,soundtrack","tt0083197,tt0096869,tt0123816,tt0090391"
nm0813454,Matthew Solon,1955,\N,"actor,writer","tt1690363,tt0086661,tt0087756,tt0098833"
