tconst,ordering,nconst,category,job,characters
tt0051310,6,nm0543169,actress,\N,"[""Countess la Valliere""]"
tt0051310,7,nm0225100,actor,\N,"[""Major Domo""]"
tt0051310,8,nm0175015,actress,\N,"[""Melanie"",""Princess Melanie de Monsantes""]"
tt0051310,9,nm0743099,actor,\N,"[""Banker Rothstein"",""Rothstein""]"
tt0051311,10,nm0912829,actor,\N,"[""Crew Member"",""Dutch"",""First Mate""]"
tt0051311,1,nm0000978,actor,\N,"[""Mike Nelson"",""Whitey Fender""]"
tt0051311,2,nm0236951,actor,\N,"[""Alfonso"",""Artie"",""Brave Miner, Ben Whitman""]"
tt0051311,3,nm0113308,actor,\N,"[""Guard"",""Court"",""DeWitt Miller""]"
tt0051311,4,nm0365642,actress,\N,"[""Betty Rainard"",""Corrine Baker"",""Joan Mason""]"
tt0051311,5,nm0125503,writer,creator,\N
tt0051311,6,nm0100615,actor,\N,"[""Asst. DA"",""Delmar"",""Eddie Mahar""]"
tt0051311,7,nm0698217,actor,\N,"[""Dick Talbot"",""Amphibian Pilot"",""Dick Talbot, the Amphibian Pilot""]"
tt0051311,8,nm0176773,actor,\N,"[""Chief"",""Ed"",""John Benton""]"
tt0051311,9,nm0000559,actor,\N,"[""Hoya - Saboteur"",""Indio Ramirez"",""Jerry Wiley""]"
tt0051312,10,nm0472632,actor,\N,"[""Blodgett"",""Mr. Murgittroyd"",""Presto the Magician""]"
tt0051312,1,nm0000073,self,\N,"[""Self - Narrator"",""Self - Hostess"",""Self - Host""]"
tt0051312,2,nm0731490,actor,\N,"[""Count DeSpard"",""Count Schoenfeld"",""Thorabore""]"
tt0051312,3,nm0001547,actress,\N,"[""Hepzibah Pyncheon"",""Mombi the Witch"",""Witch""]"
tt0051312,4,nm0364893,actor,\N,"[""Dragon"",""Judge Jeffrey Pyncheon"",""Lord Karsch""]"
tt0051312,5,nm0641729,actor,\N,"[""Jim Cummins"",""Mayor Godfrey"",""Merking""]"
tt0051312,6,nm0654286,actor,\N,"[""High Sheriff"",""Kyle""]"
tt0051312,7,nm0394534,actor,\N,"[""Minor Role"",""Mad Dog""]"
tt0051312,8,nm0140351,actor,\N,"[""Koali"",""Pariente"",""Tonio""]"
tt0051312,9,nm0141701,actor,\N,"[""Prince"",""Walter""]"
tt0051315,10,nm0163404,actor,\N,"[""Jason Clark""]"
tt0051315,1,nm0634313,actor,\N,"[""Special Agent Philip Conroy""]"
tt0051315,2,nm0397739,actor,\N,"[""Agent Ralph Blaine""]"
tt0051315,3,nm0047450,actor,\N,"[""I.R.S. Director Prentice""]"
tt0051315,4,nm0083081,actor,\N,"[""Gruman""]"
tt0051315,5,nm0001893,actor,\N,\N
tt0051315,6,nm0875861,actor,\N,"[""Schooner""]"
tt0051315,7,nm0666358,actress,\N,"[""Susan Randolph""]"
tt0051315,8,nm0002068,actress,\N,"[""Vera""]"
tt0051315,9,nm0201673,actress,\N,"[""Laura""]"
tt0051317,10,nm0398338,actor,\N,"[""Sgt. Pete Berger""]"
tt0051317,1,nm0292841,actor,\N,"[""Lt. Col. Steve Canyon"",""Steve Canyon""]"
tt0051317,2,nm0065159,actor,\N,"[""Announcer""]"
tt0051317,3,nm0293659,actor,\N,"[""Narrator"",""Maj. Durkle - RAF"",""Maj. Mike Hampton""]"
tt0051317,4,nm0661577,actor,\N,"[""Maj. 'Willie' Williston""]"
tt0051317,5,nm0273359,actor,\N,"[""Airman Abel Featherstone"",""A1C Featherstone"",""Sgt. Abel Featherstone""]"
tt0051317,6,nm0208125,actor,\N,"[""Police Chief Hagedorn""]"
tt0051317,7,nm0760203,actor,\N,"[""Sgt. Walsh - Tower Operator"",""Sgt. Walsh (Tower Operator)"",""Sgt. Walsh -Tower Operator""]"
tt0051317,8,nm0167368,actor,\N,"[""Crew Chief Sgt. Gerke"",""Sgt. Sam Gerke - Crew Chief""]"
tt0051317,9,nm0769974,actor,\N,"[""Major Karl Richmond"",""Maj. Karl Richmond""]"
tt0051319,10,nm0364794,actor,\N,"[""Officer""]"
tt0051319,1,nm0579663,self,\N,"[""Self - Host"",""Host"",""Alderson""]"
tt0051319,2,nm0578415,actor,\N,"[""Policeman""]"
tt0051319,3,nm0204332,actor,\N,"[""Officer Williamson""]"
tt0051319,4,nm0912829,actor,\N,"[""Detective""]"
tt0051319,5,nm0100615,actor,\N,\N
tt0051319,6,nm0136994,actor,\N,"[""Herb Maris"",""Herbert L. Maris""]"
tt0051319,7,nm0498608,actor,\N,"[""Harry Krumsky""]"
tt0051319,8,nm1535264,actress,\N,"[""Mrs. Burns""]"
tt0051319,9,nm0241883,actor,\N,"[""Officer Warner""]"
tt0051320,10,nm0327602,actor,\N,"[""Pedro Vasquez"",""Pedro Martinez""]"
tt0051320,1,nm0001983,actor,\N,"[""Bill Longley""]"
tt0051320,2,nm0664017,actor,\N,"[""Butts"",""Cabot"",""Cade gang member""]"
tt0051320,3,nm0483653,actor,\N,"[""David MacMorris"",""Mack""]"
tt0051320,4,nm0236923,actor,\N,"[""Buck"",""Deputy"",""Dodge Slater""]"
tt0051320,5,nm0344631,writer,characters created by,\N
tt0051320,6,nm0386928,writer,characters created by,\N
tt0051320,7,nm0001308,actor,\N,"[""Sculley"",""Jake Bricker""]"
tt0051320,8,nm0011298,actor,\N,"[""Conners"",""Dell Thompson"",""Hobie Lewis""]"
tt0051320,9,nm0740480,actor,\N,"[""Cowhand"",""Barfly"",""Engineer""]"
tt0051321,10,nm0086636,actress,\N,"[""Adelaide Brown""]"
tt0051321,1,nm0314770,actress,\N,"[""Alice Holliday""]"
tt0051321,2,nm0167659,actress,\N,"[""Clarissa Holliday""]"
tt0051321,3,nm0268353,actor,\N,"[""Chet Holliday"",""Mr. Holliday""]"
tt0051321,4,nm0308744,actress,\N,"[""Sally""]"
tt0051321,5,nm0758508,writer,creator,\N
tt0051321,6,nm0941308,actor,\N,"[""Soapie Weaver""]"
tt0051321,7,nm0811357,actress,\N,"[""Betty Lou""]"
tt0051321,8,nm0002013,actor,\N,\N
tt0051321,9,nm0272432,actor,\N,\N
tt0051324,10,nm0498181,actress,\N,"[""Clara Regan"",""Ellen Wilson"",""Mona Blake""]"
tt0051324,1,nm0111311,actor,\N,"[""Marshal Frank Morgan"",""U.S. Marshal Frank Morgan"",""Sheriff Frank Morgan""]"
tt0051324,2,nm0341526,actor,\N,"[""Deputy Tom Ferguson"",""Tom Ferguson"",""Al West""]"
tt0051324,3,nm0115393,actor,\N,"[""Deputy Blake"",""Deputy Ed Blake""]"
tt0051324,4,nm0949344,actor,\N,"[""Deputy Buck Johnson"",""Deputy Johnson"",""Deputy Buck""]"
tt0051324,5,nm0109858,writer,creator,\N
tt0051324,6,nm0364483,actor,\N,"[""Al Bleeker"",""Deputy Allison"",""Deputy Clark""]"
tt0051324,7,nm0601117,actor,\N,"[""Deputy George"",""Deputy Keeshan"",""Deputy Summers""]"
tt0051324,8,nm0635887,actor,\N,"[""Deputy"",""Deputy Peters"",""Deputy Sam""]"
tt0051324,9,nm0779261,actress,\N,"[""Doris Reeves"",""Jane Stuart"",""Mrs. Ben Tyler""]"
tt0051325,10,nm0723634,actor,\N,"[""Farney"",""Hergert""]"
tt0051325,1,nm0607504,actor,\N,"[""Major Bart McClelland"",""Bart McClelland"",""Maj. Bart McClelland""]"
tt0051325,2,nm0695489,actor,\N,"[""Billy Kinkaid"",""Bill Kinkaid""]"
tt0051325,3,nm0191966,actress,\N,"[""Georgia""]"
tt0051325,4,nm0449858,actor,\N,"[""Dr. Fergus""]"
tt0051325,5,nm0162395,writer,creator,\N
tt0051325,6,nm0288311,actor,\N,"[""Brody""]"
tt0051325,7,nm0341351,actor,\N,"[""Gen. Dodge""]"
tt0051325,8,nm0314947,actor,\N,"[""Connors"",""Dunnock""]"
tt0051325,9,nm0792444,actor,\N,"[""Charley"",""Charlie""]"
tt0051327,10,nm0703767,actor,\N,"[""Bartender Mitch"",""Bill, Hanger-on"",""Porter Fairchild""]"
tt0051327,1,nm0000537,actor,\N,"[""Josh Randall""]"
tt0051327,2,nm0455389,actor,\N,"[""Jason Nichols"",""Joe Hooker"",""Seth Blake""]"
tt0051327,3,nm0815825,actor,\N,"[""Bartender"",""Archie Warner"",""Clerk""]"
tt0051327,4,nm0590123,actor,\N,"[""Clark Daimler"",""Ed Bruner"",""Frank Jeffers""]"
tt0051327,5,nm0929795,actress,\N,"[""Dora Gaines"",""Manila Jones"",""Meghan Francis""]"
tt0051327,6,nm0643105,actor,\N,"[""Billy Clegg"",""Clem Robinson"",""George Aswell""]"
tt0051327,7,nm0166581,actor,\N,"[""Dixon"",""Marshal Jeff Wilcox"",""Sheriff Howard Klate""]"
tt0051327,8,nm0943660,actor,\N,"[""Elkins"",""Gib Rafford"",""Gregg Haggerty""]"
tt0051327,9,nm0675129,actor,\N,"[""Black Horse"",""Flint Bickford"",""Gabe Justin""]"
tt0051328,10,nm0922599,actor,\N,"[""Ed Marriatt"",""General Ewing""]"
tt0051328,1,nm0000789,self,\N,"[""Self - Host"",""Chris Hunter"",""Host""]"
tt0051328,2,nm0299026,self,\N,"[""Self - Commercial Spokeswoman""]"
